caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,0,,,,,,,,,,,2,3,3,3,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","답변에서 중요한 첨삭 대상을 놓쳤으며, 구체적인 성과 수치가 부족해 평가가 낮아졌습니다.",4176,139,6020,
EV-02,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,3,3,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 잘 드러나지 않고, JD의 핵심 요구사항이 누락되어 평가가 낮아졌습니다.",3795,285,3906,
EV-03,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석 결과가 부족하고 문맥을 무시한 부분이 있어 개선이 필요합니다. 전반적으로 유용성은 중간 수준입니다.,5317,286,4601,
EV-04,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 구체적인 행동과 실행 계획이 부족한 점이 문제로 지적되었습니다.,5874,199,5097,
EV-05,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","지원 동기와 포부가 잘 드러나 있으며, 전반적으로 좋은 분석을 보여줍니다. 다만, 구체적인 실행 방법이 부족한 점이 아쉽습니다.",3967,294,4416,
EV-06,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,0,,,,,,,,,,,5,5,5,5,5,4,"[""NONE""]","자기소개서의 성과와 방법론이 잘 서술되어 있으나, 구체적인 수치와 방법론이 부족한 부분이 있어 개선의 여지가 있습니다.",6597,102,3861,
EV-07,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2,3,3,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 잘 드러나지 않고, 구체적인 성과와 방법이 부족하여 개선이 필요합니다.",3585,429,6560,
EV-08,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","지원자의 경험과 성과가 잘 드러나 있으며, 구체적인 실행 계획이 부족한 점이 아쉽습니다.",4898,267,3800,
EV-09,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3,5,5,5,5,3,"[""NONE""]","지원자의 경험이 잘 드러나지만, 구체적인 행동과 결과 설명이 부족하여 개선 여지가 있습니다.",4493,278,4520,
EV-10,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 포부는 잘 드러나지만 구체적인 실행 계획이 부족하여 분석이 미흡합니다.,4711,303,5013,
EV-11,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,,,,,,,,,,,2,3,3,3,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원 동기와 포부는 명확하나, 구체적인 행동 계획과 방법이 부족하여 개선이 필요합니다.",4350,428,7061,
EV-12,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,,,,,,,,,,,4,5,5,5,5,4,"[""NONE""]","전반적으로 직무 적합성을 잘 설명하고 있으며, 구체적인 행동 계획이 부족한 점이 아쉽습니다.",4732,283,4562,
EV-13,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","지원자의 경험이 잘 드러나지만, 구체적인 방법과 과정이 부족하여 개선 여지가 있습니다.",4212,242,3931,
EV-14,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-15,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",지원 동기와 직무 적합성 설명이 부족하여 구체적인 경험이 결여된 점이 아쉽습니다.,3677,343,5187,
EV-16,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","경험을 구체적으로 서술하였으나, 성과와 방법에 대한 추가 설명이 필요합니다. 중요한 첨삭 대상을 놓쳤습니다.",4982,212,3927,
EV-17,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",지원 동기에서 구체적인 행동이나 방법이 부족하여 분석이 미흡했습니다. 문맥을 고려하지 않은 점도 문제로 지적되었습니다.,3905,198,3480,
EV-18,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,,,,,,,,,,,2,3,3,3,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석에서 구체적인 실행 계획과 성과가 부족하여 주요 점수를 낮게 평가했습니다. 또한, 누락된 키워드가 존재하여 전반적인 유용성이 감소했습니다.",3833,391,4974,
EV-19,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-20,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",지원 동기와 포부의 구체성이 부족하여 문맥을 무시한 분석이 발생했습니다. 전반적으로 개선이 필요합니다.,4202,203,3658,
