caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","답변에서 명확한 문제 문장이 없으나, 분석이 부재하여 중요한 첨삭 대상을 놓쳤습니다.",4739,128,3830,
EV-02,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",지원자의 경험이 구체적이지 않아 주요 요구사항을 충족하지 못하고 있습니다. 분석이 부재하여 중요한 첨삭 대상을 놓쳤습니다.,3770,144,4522,
EV-03,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",자기소개서에서 구체적인 성과와 행동이 부족하여 개선이 필요합니다. 분석 대상이 명확히 드러나지 않아 평가가 낮아졌습니다.,5551,440,9878,
EV-04,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 문맥을 무시한 부분이 있으며, 구체적인 방법이 결여되어 있습니다. 전반적으로 직무 적합성을 나타내지만, 개선이 필요합니다.",5972,293,6452,
EV-05,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 경험이 구체적으로 서술되지 않아 분석이 부족하다고 판단됩니다. 전반적으로 유용성은 중간 수준입니다.,4043,283,6193,
EV-06,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 문맥을 무시한 부분이 있으며, 구체적인 방법론이 결여되어 있습니다. 전반적으로 개선이 필요합니다.",6937,338,5702,
EV-07,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 전혀 없으며, 명백한 문제 문장이 존재합니다. 구체적인 성과와 방법에 대한 설명이 부족합니다.",3737,131,2693,
EV-08,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험이 잘 드러나지만, 구체적인 실행 방법이 부족하여 중요한 첨삭 대상을 놓쳤습니다.",5422,96,3062,
EV-09,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",경험을 잘 서술하였으나 성과 수치가 부족하여 분석이 미흡하게 평가되었습니다.,4915,432,6761,
EV-10,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-11,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원 동기와 포부에 대한 구체적인 사례와 성과가 부족하여 전반적인 평가가 낮았습니다. 또한, 필요한 자격증이 누락되어 있습니다.",4762,147,4483,
EV-12,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 부족하여 구체적인 행동과 방법이 명확하지 않으며, 중요한 첨삭 대상을 놓쳤습니다.",5057,422,6963,
EV-13,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 전혀 없으며, 명백한 문제 문장이 존재합니다. 구체적인 행동과 방법이 부족하여 개선이 필요합니다.",4603,131,3074,
EV-14,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 경험이 구체적이지 않고 성과 수치가 부족하여 개선이 필요합니다. 중요한 첨삭 대상을 놓쳤습니다.,5046,426,6273,
EV-15,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,3,3,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험은 잘 연결되었으나, 구체적인 성과와 JD의 핵심 요구사항이 부족하여 전반적인 유용성이 낮습니다.",3886,144,3244,
EV-16,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3,5,5,5,5,3,"[""NONE""]",전반적으로 경험이 구체적으로 서술되지 않아 강점이 잘 드러나지 않았습니다. 개선이 필요합니다.,5255,414,7782,
EV-17,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","답변에 명백한 첨삭 대상이 없으나, 구체적인 행동과 계획이 부족하여 평가가 낮아졌습니다.",4044,131,2971,
EV-18,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 전혀 없으며, 명백한 문제 문장이 존재하여 적절한 평가가 이루어지지 않았습니다.",4200,128,1775,
EV-19,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","지원자의 QA 직무에 대한 이해는 좋지만, 구체적인 행동과 방법론이 부족하여 개선이 필요합니다.",4364,449,10275,
EV-20,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원 동기와 입사 후 포부에서 구체성이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 분석이 없어서 전반적인 유용성이 낮게 평가되었습니다.,4317,140,2459,
