caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,4,5,5,5,5,4,"[""NONE""]","전반적으로 경험이 잘 서술되어 있으며, 구체적인 사례가 돋보입니다. 그러나 분석이 비어 있어 중요한 문제를 놓쳤을 가능성이 있습니다.",,,4327,
EV-02,evaluation/evaluation_ai_results_two_pass_v2_1.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,3,3,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험은 긍정적이나, JD의 핵심 키워드가 누락되었고, 분석이 부족하여 전반적인 유용성이 낮게 평가되었습니다.",,,3938,
EV-03,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,1,,,,,2,"[""MISSED_ANALYSIS""]","분석 결과가 비어 있어 명백한 문제 문장이 존재하지만, 이에 대한 적절한 분석이 이루어지지 않았습니다. 구체적인 행동과 방법론이 부족하여 전반적인 유용성이 낮습니다.",,,1718,
EV-04,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_STRENGTH"",""MISSED_ANALYSIS""]","분석이 비어있어 중요한 첨삭 대상을 놓쳤으며, 구체적인 행동과 실행 계획이 부족한 점이 아쉽습니다.",,,2372,
EV-05,evaluation/evaluation_ai_results_two_pass_v2_1.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,1,1,1,1,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","지원자의 경험이 구체적으로 부족하며, 문맥을 고려하지 않은 분석이 있었습니다. 누락된 키워드가 있어 전반적인 유용성이 낮게 평가되었습니다.",,,4535,
EV-06,evaluation/evaluation_ai_results_two_pass_v2_1.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 중요한 문제를 놓쳤고, 문맥을 무시한 부분이 있습니다. 성과에 대한 구체적인 수치가 부족하여 개선이 필요합니다.",,,4391,
EV-07,evaluation/evaluation_ai_results_two_pass_v2_1.csv,2,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","전반적으로 경험을 잘 표현했으나, 구체적인 수치나 방법론이 부족하여 분석이 미흡했습니다.",,,5639,
EV-08,evaluation/evaluation_ai_results_two_pass_v2_1.csv,2,4.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험은 유의미하나, 구체적인 실행 계획이 부족하여 전반적인 분석이 미흡하게 평가되었습니다.",,,9923,
EV-09,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,2,,,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험 설명이 구체적인 성과와 방법을 부족하게 다루고 있어, 중요한 첨삭 대상을 놓쳤습니다. 또한, 세무 신고 실무 경험이 누락되어 있습니다.",,,2767,
EV-10,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,1,,,,,2,"[""MISSED_ANALYSIS""]",구체적인 방법과 결과에 대한 설명이 부족하여 전반적인 유용성이 낮게 평가되었습니다.,,,3640,
