caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_fewshot_v5a.csv,0,,,,,,,,,,,2,5,5,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","답변에 대한 분석이 전혀 이루어지지 않았으며, 영어 어학능력 관련 키워드가 누락되었습니다. 중요한 첨삭 대상을 놓쳤습니다.",,,4103,
EV-02,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 부족하여 중요한 문제를 놓쳤습니다. 그러나 강점은 잘 드러나 있으며, 전반적으로 유용성은 중간 수준입니다.",,,4025,
EV-03,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",분석이 부족하여 강점 및 핵심역량에 대한 구체적인 경험이 결여되어 있습니다. 전반적으로 개선이 필요합니다.,,,6652,
EV-04,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,2,3,3,2,2,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석이 부족하여 주요 개선 사항을 놓쳤고, JD의 핵심 키워드도 누락되었습니다. 전반적으로 개선이 필요합니다.",,,6649,
EV-05,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 분석이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 전반적으로 유용성은 보통 수준입니다.,,,3796,
EV-06,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2,5,5,5,5,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 문맥을 무시한 부분이 있어 평가가 낮아졌습니다.,,,3176,
EV-07,evaluation/evaluation_ai_results_fewshot_v5a.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",답변에 명백한 문제 문장이 있음에도 불구하고 분석이 비어 있어 중요한 첨삭 대상을 놓쳤습니다. 전반적으로 유용성은 보통 수준입니다.,,,1932,
EV-08,evaluation/evaluation_ai_results_fewshot_v5a.csv,0,,,,,,,,,,,2,5,5,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 JD의 주요 업무와 자격 요건을 충분히 반영하지 못하고 있으며, 분석이 전혀 이루어지지 않아 중요한 문제를 놓쳤습니다.",,,2561,
EV-09,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2,4,4,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험은 유의미하나, JD의 주요 요구사항인 월/분기 결산 실무 경험이 누락되었고, 분석이 부족하여 중요한 문제를 놓쳤습니다.",,,4398,
EV-10,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원 동기와 포부에 대한 구체적인 방법이 부족하여 분석이 미흡했습니다. 전반적으로 강점은 잘 드러났으나, 중요한 첨삭 대상을 놓쳤습니다.",,,3893,
