caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-02,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-03,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","자기소개서에서 구체적인 성과와 행동이 부족하여 개선이 필요합니다. 분석 대상이 명확히 존재하지만, 이에 대한 적절한 평가가 이루어지지 않았습니다.",5192,445,6034,
EV-04,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","전반적으로 직무 적합성을 잘 나타냈으나, 구체적인 방법이나 절차에 대한 설명이 부족하여 중요한 첨삭 대상을 놓쳤습니다.",5613,201,5419,
EV-05,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,4.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 경험이 구체적으로 부족하여 중요한 첨삭 대상을 놓쳤습니다. 전반적으로 개선이 필요합니다.,3684,399,6796,
EV-06,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 구체적인 방법론과 성과를 강조할 필요가 있습니다.,6578,252,4392,
EV-07,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-08,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","전반적으로 경험이 잘 드러나지만, 구체적인 실행 방법이 부족하여 중요한 첨삭 대상을 놓쳤습니다.",5063,96,5016,
EV-09,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_STRENGTH"",""MISSED_ANALYSIS""]",경험을 잘 서술하였으나 성과 수치가 부족합니다.,4556,434,6756,
EV-10,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-11,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",지원 동기와 프로그램 운영에 대한 구체적인 사례나 성과가 부족하여 전반적인 평가가 낮았습니다. 누락된 자격증 관련 키워드도 확인되었습니다.,4403,149,3799,
EV-12,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",구체적인 행동과 방법이 부족하여 분석이 미흡했습니다. 주요 강점이 잘 드러나지 않았습니다.,4698,421,5270,
EV-13,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-14,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",경험의 구체성과 성과 수치가 부족하여 개선이 필요합니다. 중요한 첨삭 대상을 놓쳤습니다.,4687,423,7082,
EV-15,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험을 잘 연결했으나, 구체적인 성과와 JD의 핵심 요구사항이 부족하여 평가가 낮아졌습니다.",3527,106,2021,
EV-16,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",경험 서술이 구체적이지 않아 강점이 잘 드러나지 않았습니다. 중요한 첨삭 대상을 놓쳤습니다.,4896,309,4756,
EV-17,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",분석이 비어있고 구체적인 행동 및 계획이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 누락된 키워드도 확인되어 전반적인 유용성이 낮습니다.,3685,153,2422,
EV-18,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,1,5,5,5,5,2,"[""MISSED_ANALYSIS""]",분석이 비어있어 명백한 문제 문장이 존재함에도 불구하고 적절한 분석이 이루어지지 않았습니다. 이로 인해 전반적인 유용성이 낮게 평가되었습니다.,3841,112,2854,
EV-19,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","지원자의 QA 직무에 대한 이해와 경험이 잘 드러났으나, 구체적인 행동과 방법론이 부족하여 개선이 필요합니다.",4005,313,6245,
EV-20,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
