caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","답변에서 명확한 문제 문장이 없으나, 분석이 부재하여 중요한 첨삭 대상을 놓쳤습니다.",4739,128,4451,
EV-02,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 구체적이지 않아 분석이 부족하며, JD의 핵심 요구사항이 누락되었습니다.",3770,134,3935,
EV-03,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",자기소개서에서 구체적인 성과와 행동이 부족하여 개선이 필요합니다. 분석 대상이 명확히 존재하지 않아 평가가 낮아졌습니다.,5551,438,10791,
EV-04,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 구체적인 방법이나 절차가 결여된 점이 아쉬웠습니다. 전반적으로 직무 적합성을 나타내는 경험이 있으나, 문맥을 충분히 반영하지 못했습니다.",5972,303,6793,
EV-05,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 구체적인 행동이나 결과에 대한 설명이 미흡했습니다. 문맥을 고려하지 않은 점이 아쉬웠습니다.,4043,293,7925,
EV-06,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 문맥을 무시한 부분이 있으며, 구체적인 방법론이 결여되어 있습니다. 전반적으로 개선이 필요합니다.",6937,336,14960,
EV-07,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험과 계획이 잘 설명되었으나, 구체적인 성과와 방법에 대한 설명이 부족하여 분석이 결여된 것으로 평가됩니다.",3737,135,2628,
EV-08,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험이 잘 드러나지만, 구체적인 실행 방법이 부족하여 분석이 결여된 부분이 있습니다.",5422,127,3280,
EV-09,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 경험은 잘 서술되었으나 성과 수치가 부족하여 분석이 미흡하게 평가되었습니다. 중요한 첨삭 대상을 놓쳤습니다.,4915,443,8913,
EV-10,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원서에서 구체적인 실행 계획과 방법이 부족하여 주요 문제를 놓쳤습니다. 분석이 없어서 평가가 어려웠습니다.,4558,130,3934,
EV-11,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,2,2,3,"[""MISSED_MISSING_KEYWORD""]","지원 동기와 포부에 대한 구체적인 사례와 성과가 부족하여 전반적인 평가가 낮았습니다. 또한, 자격증 관련 누락이 확인되었습니다.",4762,140,11103,
EV-12,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 부족하여 구체적인 행동과 방법이 명확하지 않으며, 중요한 첨삭 대상을 놓쳤습니다.",5057,422,7474,
EV-13,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 전혀 없으며, 명백한 문제 문장이 존재합니다. 구체적인 행동과 방법이 부족하여 개선이 필요합니다.",4603,131,6199,
EV-14,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.5,3.5,3.5,4.0,2.5,5.0,5.0,4.0,5.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 경험이 구체적이지 않고 성과 수치가 부족하여 개선이 필요합니다. 중요한 첨삭 대상을 놓쳤습니다.,5046,426,15626,
EV-15,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,3,3,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",지원자의 경험은 잘 연결되었으나 구체적인 성과와 JD의 핵심 요구사항이 부족하여 평가가 낮아졌습니다.,3886,141,3265,
EV-16,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",분석이 부족하여 명백한 문제를 놓쳤습니다. 구체적인 행동과 결과 설명이 필요합니다.,5255,420,17959,
