caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,0,,,,,,,,,,,2,4,4,5,5,3,"[""MISSED_ANALYSIS""]","답변에서 명확한 문제 문장이 없으나, questionAnalyses가 비어 있어 중요한 첨삭 대상을 놓쳤습니다.",3969,130,3817,
EV-02,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,3,3,2,2,3,"[""MISSED_ANALYSIS""]","지원자의 경험이 잘 드러나지 않고, 구체적인 방법론이 부족하여 개선이 필요합니다. 또한, 누락된 키워드가 있어 전체적인 유용성이 낮습니다.",3238,288,2722,
EV-03,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,5,5,5,5,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석 결과에 명백한 문제 문장이 존재하지만, 적절한 분석이 이루어지지 않아 주요 점수가 낮게 평가되었습니다.",4721,204,3274,
EV-04,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,,,,,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 구체적인 행동과 실행 계획이 결여되어 있습니다.,5241,194,2760,
EV-05,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,1,1,1,1,3,"[""MISSED_ANALYSIS""]","지원 동기와 포부는 전반적으로 잘 작성되었으나, 구체적인 실행 방법이 부족하고 누락된 키워드가 있어 개선이 필요합니다.",3578,294,3071,
EV-06,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,0,,,,,,,,,,,1,5,5,5,5,2,"[""MISSED_ANALYSIS""]",자기소개서에서 명백한 문제 문장이 존재하지만 분석이 비어 있어 중요한 첨삭 대상을 놓쳤습니다. 구체적인 성과와 방법론을 추가하여 더욱 강력한 자기소개서를 만드세요.,6056,117,1840,
EV-07,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 구체적인 성과와 방법을 추가하면 더 좋습니다.,2996,278,5634,
EV-08,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험과 성과는 잘 드러났으나, 구체적인 실행 계획이 부족하여 중요한 문제를 놓쳤습니다.",4611,201,2553,
EV-09,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3,5,5,5,5,3,"[""NONE""]","지원자의 경험이 잘 드러나지만, 구체적인 행동과 결과 설명이 부족하여 개선 여지가 있습니다.",3977,278,3384,
EV-10,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",지원자의 포부는 잘 드러나지만 구체적인 실행 계획이 부족하여 평가가 낮아졌습니다.,4086,270,3275,
EV-11,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,2,2,1,1,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",지원 동기와 포부는 명확하나 구체적인 실행 계획이 부족하여 전반적인 분석이 미흡합니다.,3839,284,4826,
EV-12,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 부족하여 중요한 첨삭 대상을 놓쳤고, 구체적인 행동 계획이 결여되어 있습니다. 전반적으로 유용성은 중간 수준입니다.",4328,295,3478,
EV-13,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","전반적으로 경험이 잘 드러나지만, 구체적인 행동과 방법이 부족하여 개선이 필요합니다.",3824,252,2650,
EV-14,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-15,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,1,1,,,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",지원 동기와 직무 적합성 설명이 부족하여 구체적인 경험이 결여된 점이 아쉽습니다. 전반적으로 개선이 필요합니다.,3470,350,4404,
EV-16,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","경험을 구체적으로 서술하였으나, 성과와 방법에 대한 추가 설명이 필요합니다. 문맥을 고려하지 않은 분석이 있어 개선이 필요합니다.",4463,302,4396,
EV-17,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2,,,,,2,"[""MISSED_ANALYSIS""]",지원 동기에서 구체적인 행동이나 방법이 부족하여 명백한 문제 문장이 존재합니다. 이로 인해 전반적인 유용성이 낮게 평가되었습니다.,3365,199,2668,
EV-18,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 구체적인 실행 계획과 성과가 결여된 점이 문제로 지적되었습니다. 문맥을 고려하지 않은 평가가 있었습니다.,3403,317,3480,
EV-19,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 QA 직무에 대한 이해는 높지만, 구체적인 행동과 방법이 부족하여 중요한 첨삭 대상을 놓쳤습니다.",3467,131,1808,
EV-20,evaluation/evaluation_ai_results_hybrid_exact_runtime.csv,1,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",지원 동기와 포부의 구체성이 부족하여 문맥을 무시한 분석이 발생했습니다. 전반적으로 개선이 필요합니다.,3995,203,3047,
