caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_hybrid_v1.csv,0,,,,,,,,,,,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","답변에 명백한 문제 문장이 없으나, 분석이 비어 있어 중요한 첨삭 대상을 놓쳤습니다. 또한, JD의 핵심 경험 요구사항이 누락되었습니다.",3642,153,3460,
EV-02,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,4,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 잘 드러나지 않은 부분이 있으며, JD의 핵심 키워드가 누락되었습니다. 전반적으로 개선이 필요합니다.",2711,289,3483,
EV-03,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석에서 중요한 경험과 강점이 누락되었으며, 명백한 문제 문장이 존재하지만 분석이 부족하여 전반적인 유용성이 낮게 평가되었습니다.",4208,287,4661,
EV-04,evaluation/evaluation_ai_results_hybrid_v1.csv,0,,,,,,,,,,,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석이 전혀 이루어지지 않았고, 중요한 첨삭 대상을 놓쳤습니다. 또한, JD의 핵심 경험 요구사항이 누락되었습니다.",4793,147,2841,
EV-05,evaluation/evaluation_ai_results_hybrid_v1.csv,1,4.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,2,3,3,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 포부는 명확하나 구체적인 실행 방법이 부족하며, JD의 핵심 경험 요구사항이 누락되었습니다. 전반적으로 유용성은 중간 수준입니다.",3120,301,3162,
EV-06,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","자기소개서에서 주요 경험과 강점이 잘 드러나지 않았고, 중요한 키워드가 누락되었습니다. 분석이 부족하여 전반적인 유용성이 낮게 평가되었습니다.",5796,290,3698,
EV-07,evaluation/evaluation_ai_results_hybrid_v1.csv,0,,,,,,,,,,,2,5,5,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석이 전혀 이루어지지 않았고, 중요한 경험 키워드가 누락되었습니다. 전반적으로 개선이 필요합니다.",2545,139,1994,
EV-08,evaluation/evaluation_ai_results_hybrid_v1.csv,0,,,,,,,,,,,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 JD의 주요 요구사항을 충분히 반영하지 못하고 있으며, 분석이 전혀 이루어지지 않아 중요한 문제를 놓쳤습니다.",4207,144,2814,
EV-09,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험은 유용하지만, JD의 주요 요구사항인 부가세 및 법인세 신고 실무 경험과 결산 및 관리회계 실무 경험이 누락되었습니다. 또한, 분석이 부족하여 중요한 문제를 놓쳤습니다.",3584,324,4247,
EV-10,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원서에서 주요 업무와 관련된 경험이 부족하며, 분석이 결여된 부분이 있어 전반적인 유용성이 낮습니다.",3521,304,4867,
EV-11,evaluation/evaluation_ai_results_hybrid_v1.csv,1,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,4,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원 동기와 포부는 잘 드러나지만, 구체적인 실행 방법과 JD의 핵심 경험 요구사항이 누락되어 있습니다.",3439,299,6653,
EV-12,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2,4,4,2,2,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석에서 중요한 경험 키워드가 누락되었고, 문맥을 무시한 평가가 있었습니다. 전반적으로 개선이 필요합니다.",3806,295,3174,
EV-13,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 직무와 관련된 부분이 부족하며, 주요 키워드가 누락되었습니다. 분석이 부족하여 중요한 문제를 놓쳤습니다.",3511,270,3689,
EV-14,evaluation/evaluation_ai_results_hybrid_v1.csv,0,,,,,,,,,,,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 JD의 주요 요구사항을 충분히 반영하지 못하고 있으며, 분석이 전혀 이루어지지 않아 중요한 첨삭 대상을 놓쳤습니다.",3764,147,1857,
EV-15,evaluation/evaluation_ai_results_hybrid_v1.csv,0,,,,,,,,,,,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험과 강점이 잘 드러나지 않았고, 주요 요구사항이 누락되었습니다. 분석이 전혀 없어서 중요한 문제를 놓쳤습니다.",2927,145,2015,
EV-16,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2,2,2,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석이 부족하여 중요한 문제를 놓쳤고, JD의 핵심 경험 요구사항이 누락되었습니다. 전반적으로 개선이 필요합니다.",3929,293,4032,
EV-17,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",분석이 부족하고 주요 경험 키워드가 누락되어 전반적인 유용성이 낮습니다.,3064,270,3348,
EV-18,evaluation/evaluation_ai_results_hybrid_v1.csv,1,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석에서 병원 행정업무 지원 관련 경험이 부족하다는 점이 명확히 드러났으나, 이에 대한 구체적인 개선이 제시되지 않아 전반적인 유용성이 낮게 평가되었습니다.",3142,281,4608,
EV-19,evaluation/evaluation_ai_results_hybrid_v1.csv,0,,,,,,,,,,,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험과 동기는 명확하나, JD의 주요 요구사항을 충분히 반영하지 못하고 있으며, 분석이 전혀 이루어지지 않아 중요한 첨삭 대상을 놓쳤습니다.",3079,154,2241,
EV-20,evaluation/evaluation_ai_results_hybrid_v1.csv,1,,,,,,,,,,,2,2,2,3,3,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 포부는 있으나 구체적인 실행 방법이 부족하며, JD의 주요 경험 요구사항이 누락되었습니다. 전반적으로 개선이 필요합니다.",3563,183,3287,
