caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_fewshot_v5a.csv,0,,,,,,,,,,,2,5,5,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","답변에 대한 분석이 전혀 이루어지지 않았으며, 중요한 키워드인 영어 어학능력이 누락되었습니다. 이로 인해 전반적인 유용성이 낮게 평가되었습니다.",3443,152,4626,
EV-02,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험이 잘 드러나지만, 특정 문장에 대한 분석이 부족하여 중요한 첨삭 대상을 놓쳤습니다.",2635,271,2534,
EV-03,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석 결과, 강점 및 핵심역량에 대한 구체적인 경험이 부족하여 중요한 첨삭 대상을 놓쳤습니다. 전반적으로 유용성은 중간 수준입니다.",4017,282,4518,
EV-04,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,,,,,,,,,,,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석이 부족하여 주요 문제를 놓쳤고, JD의 핵심 키워드도 누락되었습니다. 전반적으로 개선이 필요합니다.",4777,180,2940,
EV-05,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 부족하여 중요한 문제를 놓쳤습니다. 문장 내용은 적절하나, 구체적인 설명이 부족해 평가가 낮아졌습니다.",3032,291,3987,
EV-06,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 중요한 문제를 놓쳤고, 문맥을 무시한 부분이 있습니다. 그러나 전반적으로 유용한 경험이 잘 드러나 있습니다.",5599,305,2662,
EV-07,evaluation/evaluation_ai_results_fewshot_v5a.csv,0,,,,,,,,,,,5,5,5,5,5,4,"[""NONE""]","지원자의 경험과 능력이 잘 드러나 있으며, 분석이 필요하지 않은 적절한 내용입니다. 다만, 전체적인 개선 여지가 있어 점수를 4로 평가했습니다.",2435,131,1818,
EV-08,evaluation/evaluation_ai_results_fewshot_v5a.csv,0,,,,,,,,,,,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 JD의 주요 요구사항과 잘 연결되지 않았으며, 분석이 전혀 이루어지지 않아 중요한 문제를 놓쳤습니다. 또한, 누락된 키워드가 있어 전반적인 유용성이 낮게 평가되었습니다.",4037,162,1905,
EV-09,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2,2,2,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 일부 언급되었으나, JD의 주요 요구사항인 결산 실무 경험이 누락되었습니다. 또한, 분석이 부족하여 중요한 문제를 놓쳤습니다.",3406,310,2954,
EV-10,evaluation/evaluation_ai_results_fewshot_v5a.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원 동기와 포부에서 구체적인 실행 방법이 부족하여 분석이 미흡했습니다. 전반적으로 강점은 잘 드러났으나, 중요한 첨삭 대상을 놓쳤습니다.",3405,309,2841,
