caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-02,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-03,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","자기소개서에서 구체적인 성과와 행동이 부족하여 개선이 필요합니다. 분석 대상이 명확히 존재하지만, 이에 대한 적절한 평가가 이루어지지 않았습니다.",5192,445,6976,
EV-04,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험이 직무와 관련이 있지만, 구체적인 방법이나 절차가 부족하여 분석이 미흡했습니다.",5613,192,4088,
EV-05,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 경험이 구체적으로 부족하여 분석이 미흡했습니다. 전반적으로 개선이 필요합니다.,3684,395,6332,
EV-06,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2,1,1,1,1,3,"[""CONTEXT_IGNORED"",""MISSED_MISSING_KEYWORD""]",분석에서 구체적인 방법론과 성과가 부족하여 평가가 낮아졌습니다. JD의 핵심 경험 요구사항이 누락되어 전체 유용성 점수가 낮았습니다.,6578,266,6125,
EV-07,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-08,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-09,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",경험을 잘 서술하였으나 성과 수치가 부족합니다.,4556,425,5820,
EV-10,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-11,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,3,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원 동기와 관련된 구체적인 사례가 부족하며, 자격증 관련 누락이 확인되었습니다. 분석이 비어 있어 중요한 문제를 놓쳤습니다.",4403,145,2845,
EV-12,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",분석이 부족하여 구체적인 행동과 방법이 결여된 점이 아쉽습니다. 주요 문장에 대한 개선이 필요합니다.,4698,425,6049,
EV-13,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-14,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",경험의 구체성과 성과 수치가 부족하여 개선이 필요합니다. 분석이 부족한 부분이 있어 전반적인 유용성이 낮게 평가되었습니다.,4687,431,6506,
EV-15,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",지원자의 경험을 잘 연결했으나 구체적인 성과가 부족하여 주요 첨삭 대상을 놓쳤습니다. JD의 핵심 경험 요구사항도 누락되었습니다.,3527,113,2844,
EV-16,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","전반적으로 경험을 잘 서술했으나, 구체적인 행동과 결과에 대한 설명이 부족하여 분석이 미흡하게 평가되었습니다.",4896,429,6576,
EV-17,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
EV-18,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 비어있어 중요한 첨삭 대상을 놓쳤으며, 경험과 방법론이 부족하다는 점이 명확히 드러났습니다.",3841,135,4081,
EV-19,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 QA 직무에 대한 이해와 경험이 잘 드러났으나, 구체적인 행동과 방법론이 부족하여 개선이 필요합니다.",4005,435,6981,
EV-20,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
