caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,5,5,5,5,5,4,"[""NONE""]","전반적으로 경험이 잘 서술되어 있으며, 구체적인 사례가 돋보입니다. 그러나 일부 문장에서 성과 수치와 구체적인 행동이 부족하여 개선의 여지가 있습니다.",4011,134,2982,
EV-02,evaluation/evaluation_ai_results_two_pass_v2_1.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,3,3,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험은 긍정적이나, 구체적인 방법론과 JD의 핵심 키워드가 부족하여 전반적인 유용성이 낮게 평가되었습니다.",3074,290,2488,
EV-03,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,1,,,,,2,"[""MISSED_ANALYSIS""]","분석 결과가 비어 있으며, 명백한 문제 문장이 존재합니다. 구체적인 행동과 방법론이 부족하여 전반적인 유용성이 낮습니다.",4358,103,1711,
EV-04,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 비어있어 중요한 첨삭 대상을 놓쳤으며, 구체적인 행동과 실행 계획이 부족합니다.",5367,128,1968,
EV-05,evaluation/evaluation_ai_results_two_pass_v2_1.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,1,1,1,1,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","지원자의 경험이 구체적이지 않아 분석이 부족하다고 판단됩니다. 또한, 누락된 키워드가 있어 전체적인 유용성이 낮습니다.",3481,455,3796,
EV-06,evaluation/evaluation_ai_results_two_pass_v2_1.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,1,1,,,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 중요한 문제를 놓쳤습니다. 성과에 대한 구체적인 수치가 부족하다는 지적이 있었습니다.,6371,254,2362,
EV-07,evaluation/evaluation_ai_results_two_pass_v2_1.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","전반적으로 경험을 잘 표현했으나, 구체적인 수치와 방법론이 부족하여 분석이 미흡했습니다.",3000,397,4278,
EV-08,evaluation/evaluation_ai_results_two_pass_v2_1.csv,2,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",구체적인 실행 계획이 부족하여 명확한 개선 방향이 필요합니다. 전반적으로 유용성은 중간 수준입니다.,4793,386,5630,
EV-09,evaluation/evaluation_ai_results_two_pass_v2_1.csv,0,,,,,,,,,,,2,1,1,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석이 비어있고 중요한 첨삭 대상을 놓쳤으며, JD의 핵심 경험 요구사항이 누락되었습니다.",3680,138,1716,
EV-10,evaluation/evaluation_ai_results_two_pass_v2_1.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
