caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,strengthsPrecision,missingKeywordsPrecision,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4,5,4,"[""NONE""]","전반적으로 지원자의 경험이 JD의 요구 사항과 잘 맞아떨어지며, 문장도 명확하게 관련성을 보여줍니다. 다만, 공학 지식 언급이 부족하여 약간의 개선이 필요합니다.",,,5259,
EV-02,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4,,4,"[""NONE""]","지원자는 포토샵과 일러스트 활용 능력을 강조하며, 제품 설계 경험을 통해 디자인의 중요성을 잘 이해하고 있습니다. 그러나 UX/UI 디자인 요소에 대한 언급이 부족하여 개선의 여지가 있습니다.",,,3204,
EV-03,evaluation/evaluation_ai_results_two_pass_v2.csv,0,,,,,,,,,,,4,,4,"[""NONE""]","지원자의 분석 역량과 구체적인 성과가 잘 드러나 있으며, 공정 개선에 대한 깊은 이해를 보여줍니다. 그러나 질문 분석이 없어 평가가 제한적입니다.",,,2470,
EV-04,evaluation/evaluation_ai_results_two_pass_v2.csv,0,,,,,,,,,,,4,,4,"[""NONE""]","지원자의 경험과 기술이 직무와 잘 맞아떨어지며, 데이터 분석 및 트러블슈팅 능력이 강조되었습니다. 그러나 질문 분석이 없어 구체적인 평가가 제한적입니다.",,,2673,
EV-05,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4,5,4,"[""NONE""]","지원자는 LAB 직무에 대한 명확한 동기와 AI 활용 경험을 잘 드러내며, 포부에 대한 구체성이 다소 부족하지만 전반적으로 유용한 내용을 포함하고 있습니다.",,,5689,
EV-06,evaluation/evaluation_ai_results_two_pass_v2.csv,0,,,,,,,,,,,3,2,4,"[""NONE""]","지원자의 경험과 성과가 잘 드러나 있으며, 비용 절감과 데이터 자동화에 대한 구체적인 사례가 인상적입니다. 그러나 일부 주요 키워드가 누락되어 있습니다.",,,2639,
EV-07,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2,,4,"[""NONE""]","지원자는 디자인 및 콘텐츠 기획 경험이 풍부하며, AI 도구 활용을 통해 업무 효율성을 높이고자 하는 의지를 보였습니다. 전반적으로 JD와 잘 맞는 답변입니다.",,,4193,
EV-08,evaluation/evaluation_ai_results_two_pass_v2.csv,0,,,,,,,,,,,3,2,4,"[""NONE""]","지원자는 데이터 기반 소비자 경험 설계와 성과 기반 SNS 마케팅 경험을 강조하며, 문제 정의 및 실행력을 통해 성과를 창출한 사례를 제시했습니다. 그러나 JD의 특정 주요 업무와 관련된 키워드가 누락되어 아쉬움이 있습니다.",,,2901,
EV-09,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,2,,4,"[""NONE""]","지원자는 회계·세무 관련 경험과 문제 해결 능력을 잘 보여주며, 직무에 대한 이해도가 높습니다. 다만, 포부의 구체성이 부족한 점이 아쉽습니다.",,,5868,
EV-10,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4,5,4,"[""NONE""]","지원자는 유아 교육에 대한 확고한 철학과 실무 경험을 잘 드러내고 있으며, 포부는 구체적이나 실행 방법에 대한 보완이 필요합니다.",,,4107,
