caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","답변에 명백한 문제 문장이 없으나, questionAnalyses가 비어 있어 중요한 첨삭 대상을 놓쳤다고 판단됩니다.",3428,132,3744,
EV-02,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,1,4.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","상세페이지 제작 경험은 언급되었으나, 소비자 구매 결정 요소에 대한 구체적인 설명이 부족하여 문맥을 무시한 평가가 있었습니다. 또한, 명백한 첨삭 대상이 존재함에도 불구하고 분석이 부족했습니다.",2634,310,3468,
EV-03,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,1,3.0,3.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석 결과, 강점 및 핵심역량에 대한 구체적인 경험이 부족하여 문맥을 무시한 평가가 이루어졌습니다. 전반적으로 유용성은 중간 수준입니다.",4016,296,3329,
EV-04,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","전반적으로 지원자의 경험과 목표가 잘 연결되어 있으며, 주요 강점이 명확하게 드러납니다. 다만, 일부 문장에 대한 구체성이 부족하여 개선 여지가 있습니다.",4744,272,3271,
EV-05,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,1,3.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 부족하여 중요한 문제를 놓쳤습니다. 문장 내용은 적절하나, 구체적인 설명이 부족해 평가가 낮아졌습니다.",3031,291,3717,
EV-06,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 명백한 문제 문장을 놓쳤고, 문맥을 무시한 평가가 있었습니다. 전반적으로 유용성은 중간 수준입니다.",5598,306,2937,
EV-07,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,0,,,,,,,,,,,1,5,5,5,5,2,"[""MISSED_ANALYSIS""]",답변에 명백한 문제 문장이 있음에도 불구하고 분석이 전혀 이루어지지 않아 중요한 첨삭 대상을 놓쳤습니다.,2434,101,2046,
EV-08,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,0,,,,,,,,,,,2,5,5,5,5,2,"[""MISSED_ANALYSIS""]","지원자의 경험과 역량이 잘 드러나지 않았고, 명백한 첨삭 대상이 존재함에도 분석이 없었습니다. 이로 인해 전반적인 유용성이 낮게 평가되었습니다.",3991,145,2969,
EV-09,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","지원자의 경험과 계획이 잘 드러나 있으며, 전반적으로 적절한 분석이 이루어졌습니다. 다만, 구체적인 실행 방법이 부족한 점이 아쉽습니다.",3387,291,3379,
EV-10,evaluation/evaluation_ai_results_hybrid_exact_offline.csv,1,4.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원 동기와 포부에 대한 구체적인 방법이 부족하여 분석이 미흡했습니다. 그러나 전반적으로 강점이 잘 드러나고 있습니다.,3404,300,3121,
