caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","답변에서 명확한 문제 문장이 없으나, 분석이 부재하여 중요한 첨삭 대상을 놓쳤습니다.",4739,128,4022,
EV-02,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,1,1,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",지원자의 경험이 구체적이지 않아 주요 요구사항을 충족하지 못하고 있습니다. 분석이 부재하여 중요한 첨삭 대상을 놓쳤습니다.,3770,144,2804,
EV-03,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",자기소개서에서 구체적인 성과와 행동이 부족하여 개선이 필요합니다. 분석 결과의 신뢰성을 높이기 위한 추가적인 정보가 요구됩니다.,5551,437,6710,
EV-04,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 구체적인 방법이나 절차가 결여된 점이 아쉬웠습니다. 전반적으로 직무 적합성을 나타내는 경험이 있으나, 문맥을 충분히 반영하지 못했습니다.",5972,301,7018,
EV-05,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]",분석이 부족하여 구체적인 행동이나 결과에 대한 설명이 미흡했습니다. 문맥을 고려하지 않은 점이 아쉬웠습니다.,4043,293,6821,
EV-06,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,1,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 구체적인 방법론이 결여된 점이 아쉬우며, 문맥을 무시한 평가가 있었습니다.",6937,336,6297,
EV-07,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","분석이 없으나, 답변에서 구체적인 성과와 방법이 부족하여 중요한 첨삭 대상을 놓쳤습니다.",3737,130,2664,
EV-08,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험이 잘 드러나지만, 구체적인 실행 방법이 부족하여 중요한 첨삭 대상을 놓쳤습니다.",5422,128,2991,
EV-09,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,2,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",경험을 잘 서술하였으나 성과 수치가 부족하여 전반적인 유용성이 낮게 평가되었습니다.,4915,435,6946,
EV-10,evaluation/evaluation_ai_results_two_pass_candidate_prompt_fix.csv,,,,,,,,,,,,,,,,,,[],,,,,judge_validation_failed
