caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results.csv,0,,,,,,,,,,,1,5,5,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","답변에 대한 분석이 전혀 이루어지지 않았으며, 중요한 누락 키워드가 발견되었습니다. 전반적으로 개선이 필요합니다.",3631,142,3720,
EV-02,evaluation/evaluation_ai_results.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5,5,5,5,5,5,"[""NONE""]","지원자의 경험과 강점이 잘 드러나 있으며, JD의 요구사항을 충족하고 있습니다. 전반적으로 높은 품질의 자기소개서입니다.",2811,274,3745,
EV-03,evaluation/evaluation_ai_results.csv,0,,,,,,,,,,,1,5,5,5,5,2,"[""MISSED_ANALYSIS""]","자기소개서에 명백한 첨삭 대상이 없으나, 분석이 비어 있어 중요한 문제를 놓쳤습니다. 전반적으로 분석의 깊이가 부족합니다.",4131,139,5664,
EV-04,evaluation/evaluation_ai_results.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,2,3,3,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 부족하고, 주요 키워드가 누락되어 있어 전반적인 유용성이 낮습니다. 또한, 중요한 분석 대상을 놓쳤습니다.",4998,294,6407,
EV-05,evaluation/evaluation_ai_results.csv,1,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,3,5,5,5,5,3,"[""NONE""]","지원자의 포부는 명확하나 구체적인 실행 방법이 부족하여 다소 아쉬운 점이 있습니다. 전반적으로 강점이 잘 드러나지만, 분석의 깊이가 부족합니다.",3185,288,3982,
EV-06,evaluation/evaluation_ai_results.csv,0,,,,,,,,,,,1,5,5,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","자기소개서에서 명백한 문제 문장이 없으나, 분석이 전혀 이루어지지 않아 중요한 첨삭 대상을 놓쳤습니다. 또한, JD의 핵심 경험 요구사항이 누락되었습니다.",5786,159,3268,
EV-07,evaluation/evaluation_ai_results.csv,1,4.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","분석이 부족하여 중요한 첨삭 대상을 놓쳤고, 문맥을 무시한 부분이 있어 전반적인 유용성이 낮게 평가되었습니다.",2708,283,4626,
EV-08,evaluation/evaluation_ai_results.csv,0,,,,,,,,,,,1,5,5,1,1,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 JD의 주요 요구사항과 잘 연결되지 않았으며, 분석이 전혀 이루어지지 않아 중요한 문제를 놓쳤습니다. 누락된 키워드도 다수 존재합니다.",4255,153,3799,
EV-09,evaluation/evaluation_ai_results.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,4,1,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험은 유용하지만, 세무 신고 실무 경험이 누락되어 있으며, 분석이 부족한 부분이 있습니다.",3577,299,4855,
EV-10,evaluation/evaluation_ai_results.csv,1,4.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2,5,5,5,5,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","지원자의 교육 철학과 실습 경험이 잘 드러나지만, 포부의 구체적인 실행 방법이 부족하여 문맥을 간과한 분석이 있었습니다.",3484,285,5276,
EV-11,evaluation/evaluation_ai_results.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","지원 동기와 포부가 잘 드러나 있으며, 자격증 관련 경험도 명확하게 표현되었습니다. 다만, 일부 문장에서 구체성이 부족하여 개선 여지가 있습니다.",3584,277,5816,
EV-12,evaluation/evaluation_ai_results.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,5,5,2,2,3,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]",지원 동기와 직무 적합성에 대한 설명이 구체적이지 않아 중요한 첨삭 대상을 놓쳤습니다. 또한 JD의 핵심 경험 요구사항이 누락되어 평가가 낮아졌습니다.,3852,306,6174,
EV-13,evaluation/evaluation_ai_results.csv,1,3.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,2,4,4,2,2,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","분석이 부족하여 주요 경험과 관련된 키워드가 누락되었고, 문맥을 충분히 반영하지 못한 점이 문제로 지적되었습니다.",3573,285,4428,
EV-14,evaluation/evaluation_ai_results.csv,0,,,,,,,,,,,2,4,4,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 JD의 주요 요구사항을 충분히 반영하지 못하고 있으며, 분석이 전혀 이루어지지 않아 중요한 첨삭 대상을 놓쳤습니다.",3704,147,3526,
EV-15,evaluation/evaluation_ai_results.csv,1,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2,4,4,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원 동기는 잘 설명되었으나, 회사에 대한 구체적인 기여 방안이 부족하고, 주요 경험 키워드가 누락되었습니다.",3137,289,5168,
EV-16,evaluation/evaluation_ai_results.csv,1,,,,,,,,,,,3,4,4,1,1,3,"[""MISSED_MISSING_KEYWORD""]","지원자의 경험과 역량 설명이 구체적이나, JD의 핵심 경험 요구사항인 재고 관리 및 분석 경험이 누락되었습니다.",3996,176,7417,
