caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,0,,,,,,,,,,,1,5,5,5,5,3,[],"전반적으로 경험이 잘 드러나지만, 구체적인 사례와 행동이 부족하여 개선이 필요합니다.",,,2649,
EV-02,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,,,2,2,3,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 경험이 구체적으로 서술되지 않아 강점이 잘 드러나지 않았고, 누락된 키워드가 있어 개선이 필요합니다.",,,3546,
EV-03,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,2,2,3,3,3,"[""MISSED_ANALYSIS""]",분석 역량에 대한 구체적인 행동과 결과가 부족하여 개선이 필요합니다. 전반적으로 유용성은 중간 수준입니다.,,,3405,
EV-04,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,2,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,3,3,3,3,3,"[""MISSED_ANALYSIS""]","구체적인 행동과 결과가 부족하여 분석이 미흡하였고, 중요한 첨삭 대상을 놓쳤습니다.",,,6351,
EV-05,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2,1,1,1,1,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","지원자의 기여도를 명확히 이해하기 어려운 부분이 있으며, 중요한 첨삭 대상을 놓쳤습니다.",,,6636,
EV-06,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2,1,1,1,1,3,[],"전반적으로 성과 수치가 잘 드러나 있으나, 구체적인 행동과 경험이 부족하여 개선 여지가 있습니다.",,,4113,
EV-07,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,4.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원자의 경험은 긍정적이나, 구체적인 행동과 방법이 부족하여 개선이 필요합니다. 전반적으로 유용성은 중간 수준입니다.",,,3733,
EV-08,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,,,,,2,"[""CONTEXT_IGNORED"",""MISSED_ANALYSIS""]","지원자의 경험은 흥미롭지만, 구체적인 방법론과 행동에 대한 설명이 부족하여 개선이 필요합니다.",,,3889,
EV-09,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 경험은 유의미하나 구체적인 행동과 방법론이 부족하여 개선 여지가 있습니다.,,,3585,
EV-10,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,1,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",지원자의 분석에서 구체적인 실행 계획과 방법론이 부족하여 전반적인 평가가 낮아졌습니다.,,,3841,
EV-11,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,2,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]","지원 동기와 포부는 잘 연결되어 있으나, 실행 계획이 구체적이지 않아 개선이 필요합니다.",,,4859,
EV-12,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,0,,,,,,,,,,,2,1,1,,,2,"[""MISSED_ANALYSIS""]",답변에 명백한 문제 문장이 있음에도 불구하고 분석이 비어 있어 중요한 첨삭 대상을 놓쳤습니다. 전반적으로 개선이 필요합니다.,,,1598,
EV-13,evaluation/evaluation_ai_results_two_pass_under_detection_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,[],"전반적으로 전문성을 잘 드러냈으나, 구체적인 행동과 방법이 부족하여 개선이 필요합니다.",,,5858,
