caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,noAnalysisAppropriateness,strengthsPrecision,strengthsCoverage,missingKeywordsPrecision,missingKeywordsCoverage,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-01,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,0,,,,,,,,,,,1,5,5,5,5,2,[],분석이 비어있고 명백한 문제 문장이 존재하여 적절한 평가가 이루어지지 않았습니다. 주요 경험과 성과가 부족하게 언급되었습니다.,,,3978,
EV-02,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,2,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2,1,1,1,1,3,"[""MISSED_ANALYSIS""]","지원자의 경험이 구체적으로 서술되지 않아 분석이 부족하며, 누락된 키워드가 있어 개선이 필요합니다.",,,6863,
EV-03,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_STRENGTH"",""MISSED_ANALYSIS""]","분석에서 구체적인 행동과 방법이 부족하여 주요 문제를 놓쳤습니다. 강점은 잘 드러났으나, 명확한 분석이 결여되어 있습니다.",,,3357,
EV-04,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,0,,,,,,,,,,,1,,,,,2,"[""MISSED_ANALYSIS""]","분석이 비어있어 명백한 문제 문장이 존재하지만, 적절한 분석이 이루어지지 않았습니다. 구체적인 행동과 실행 계획이 부족하여 전반적인 유용성이 낮습니다.",,,3075,
EV-05,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,0,,,,,,,,,,,2,1,1,2,2,2,"[""MISSED_ANALYSIS"",""MISSED_MISSING_KEYWORD""]","지원자의 답변에서 구체적인 실행 방법과 성과가 부족하여 중요한 첨삭 대상을 놓쳤습니다. 또한, JD의 핵심 경험 요구사항이 누락되었습니다.",,,2504,
EV-06,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,1,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,5,5,5,5,4,"[""NONE""]","전반적으로 경험과 성과가 잘 드러나 있으며, 구체적인 수치와 방법론을 강조하면 더욱 좋습니다.",,,4037,
EV-07,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,0,,,,,,,,,,,1,,,,,2,"[""MISSED_ANALYSIS""]",지원자의 경험과 계획이 구체성이 부족하여 명확한 행동이나 방법이 결여되어 있습니다. 중요한 첨삭 대상을 놓쳤습니다.,,,3545,
EV-08,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,0,,,,,,,,,,,2,5,5,5,5,3,"[""MISSED_STRENGTH"",""MISSED_ANALYSIS""]","분석이 비어있어 중요한 첨삭 대상을 놓쳤으며, 구체적인 행동과 실행 계획이 부족하다는 점이 아쉬웠습니다.",,,2609,
EV-09,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,0,,,,,,,,,,,1,,,,,2,"[""MISSED_ANALYSIS""]",분석이 비어있어 명백한 문제 문장이 존재하지만 평가가 이루어지지 않았습니다. 구체적인 성과와 방법이 부족하여 전반적인 유용성이 낮습니다.,,,2836,
EV-10,evaluation/evaluation_ai_results_two_pass_precision_fix.csv,2,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2,5,5,5,5,3,"[""MISSED_ANALYSIS""]",구체적인 실행 계획과 방법론이 부족하여 분석이 미흡했습니다. 개선이 필요합니다.,,,6378,
